budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
96,electricity,1,0.005195200620454762,888ED07699FF0EDEF0264E09E71B743A7844BB7262F5C541FAFB5D23D22D5C94,0,2900,0,glime_independent,logreg,0.0018945417310832803,smoke,192,0.02962190005928278,null,0,0.0,7.284660101080235e-10,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.8,3.3737636858466934e-06,,
96,electricity,1,0.005524753857431939,4146C5B041EA1932A5EA7DBD56D635EAE28995D208305CDAFF546D32EDE5F392,0,2900,0,kernelshap_independent,logreg,0.0021454387328628233,smoke,196,0.04030580003745854,null,0,0.0,9.316477409452642e-10,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,3.815363148151137e-06,634B8388D67DE68EB34C86B2B7CABB714DC5995FE76DED069FA7788D61FD815E,B434AC46417EC38A0D7886615E6A4711107AE0BF53FEB90E488716333419B33D
96,electricity,1,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,2900,0,kernelshap_paired,logreg,0.0,smoke,196,0.03891580016352236,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,54F50B36EDEB06F858FD458D8434D4478122A3CA76AA39FEAA47A45B9AEE97D6,54F50B36EDEB06F858FD458D8434D4478122A3CA76AA39FEAA47A45B9AEE97D6
96,electricity,1,0.0026794487148114766,8F4425F861AC54A4D1DE16F4272507D1C73538E44D002348C0EB18388738F6ED,0,2900,0,lime_independent,logreg,0.0005039534556906904,smoke,192,0.031084700021892786,null,0,0.0,5.154443647134216e-11,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,8.974306769131091e-07,,
96,electricity,1,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,2900,0,lime_paired,logreg,0.0,smoke,192,0.035348699893802404,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
96,electricity,0,0.008674129122564819,3A39C251AC1EFE1A0C32900AAAA1296F2579D36ECD6DE1A625454C9A6C30BCC5,0,12421,1,glime_independent,logreg,0.0012868866413588559,smoke,192,0.02695619990117848,null,0,0.0,5.661135253202122e-09,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,9.405064504365888e-06,,
96,electricity,0,0.04506946214512199,E2DBD74DE889A4C43AB60CABAFECFB290B46136244F302AB25A1CB08CCD011C7,1,12421,1,kernelshap_independent,logreg,0.03476205247324649,smoke,196,0.03731709998100996,null,0,0.0,4.126002635871688e-06,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,0.0002539070522563229,F150D199B73C298CA4F9B75B23849B89739AEB0986035B64E430FC895050E6B5,D90A4E5A9A00A22C196D992AFB1C6C79511E84A1307F59B33BBB4D9D959857B7
96,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,12421,1,kernelshap_paired,logreg,0.0,smoke,196,0.04115610010921955,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,46E8267F04BFEBC90F50284EE1AA657D77769A7C1FC1F0111C3221A6E07E5619,46E8267F04BFEBC90F50284EE1AA657D77769A7C1FC1F0111C3221A6E07E5619
96,electricity,0,0.011920457687085627,29B88B5424AE5989CC26D8B71A94E062F95C0967ED3A7F7DF96D213D04352951,0,12421,1,lime_independent,logreg,0.0024303811502083407,smoke,192,0.03334270021878183,null,0,0.0,2.0191645926888182e-08,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,1.776216393369985e-05,,
96,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,12421,1,lime_paired,logreg,0.0,smoke,192,0.03330380003899336,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
522,electricity,0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,12421,1,lime_paired_slime_budget,logreg,0.0,smoke,1044,0.03698779991827905,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
-1,electricity,0,0.010716860367794675,5ED46B234D8C6D238A25F9A541347F1A6A1552251151B13F6054E0874F26EE43,0,12421,1,slime_independent,logreg,0.0019643717130141914,smoke,1044,0.11759699997492135,null,0,0.0,1.3190774285204574e-08,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,1.4356387017851024e-05,,
96,electricity,1,0.007130204849734243,5AE59B7A13CEA35ED925BEDA2029C858F3E800B82F2FFD3C2924BF2E0AB988D0,0,12421,1,glime_independent,logreg,0.0008695459600505489,smoke,192,0.024121700087562203,null,0,0.0,2.584687419563953e-09,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,6.354977649896713e-06,,
96,electricity,1,0.01646279495542601,994DD5F830005D4947C7C9BB38A8140F4C11FC27623EC1D8A529E5A2D28E9B5C,0,12421,1,kernelshap_independent,logreg,0.004638182130920567,smoke,196,0.035969499964267015,null,0,0.0,7.345380137526266e-08,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.4,3.387795221805e-05,CEC2F6748CF5F153F74488BC32A7DECEA7ED4CF3A0B8E7F8607FFAADB0515F79,866B42139943C8C92AC89344900198932C56ED65E419D7F4A58782712B25995B
96,electricity,1,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,12421,1,kernelshap_paired,logreg,0.0,smoke,196,0.02551719988696277,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,08691A691DC40AEE18613B7611BAFBD4A6763428B674B6AD9C95E40B21D1A3FC,08691A691DC40AEE18613B7611BAFBD4A6763428B674B6AD9C95E40B21D1A3FC
96,electricity,1,0.007279347177760224,35F4793A8EFC4E3D7224B7F5DED3534B97BC0EB6BC7ECBF88591535E13D0FCCE,0,12421,1,lime_independent,logreg,0.0009063029487264992,smoke,192,0.03511729999445379,null,0,0.0,2.807823028756367e-09,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0.6,6.623611916795717e-06,,
96,electricity,1,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,0,12421,1,lime_paired,logreg,0.0,smoke,192,0.032341300044208765,null,0,0.0,0.0,0.0,F5A5FD42D16A20302798EF6ED309979B43003D2320D9F0E8EA9831A92759FB4B,1.0,0.0,,
