budget_per_side,dataset,draw,estimate_l2,estimate_sha256,far,instance_index,instance_position,method,model,normalized_vector_mse,phase,query_total,runtime_sec,scenario,seed,severity,squared_drift_error,target_l2,target_sha256,topk_overlap,vector_mse,clean_mask_sha256,shifted_mask_sha256
256,adult,1,0.5719079472817972,5305DF8558C0A960C3710623849ED10B25D4555C3F68E178D9FD6127DAA18FA3,1,14608,0,kernelshap_paired,hgb,0.007468010637206339,full,516,0.06275539984926581,mean_shift,2,1.0,7.81085967153997e-06,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,0.8,9.155185409261771e-05,0821087AF1F4A3298A95F69762AFD6D26E667CEAC5945B8577D481CD1CCBE870,0821087AF1F4A3298A95F69762AFD6D26E667CEAC5945B8577D481CD1CCBE870
256,adult,1,0.5625495889603969,E0547F2AC6F1CC48DD7D0C6F886F615C7275A6771051CDD0DF49A11A875AF462,1,14608,0,lime_independent,hgb,0.0018761123211391015,full,512,0.056100500049069524,mean_shift,2,1.0,1.7035618277549718e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,2.1967936090011188e-05,,
256,adult,1,0.5570407780051264,32D9A56906B918BDAD4800871F89A4A81010D2E3B38117FE0D709BB017B25D25,1,14608,0,lime_paired,hgb,0.006635292616119874,full,512,0.06900819996371865,mean_shift,2,1.0,4.162371004070713e-06,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,7.76945401866678e-05,,
1920,adult,1,0.5625441220434941,9BB5BF34B42078AAB546FDA88AF050CDC796B0C2277FE9CA5457547B1FE1DA3B,1,14608,0,lime_paired_slime_budget,hgb,0.002214707665625847,full,3840,0.19754900014959276,mean_shift,2,1.0,1.698488225749621e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,2.5932645880704285e-05,,
-1,adult,1,0.5547395198306253,2235DD6603DE0CE06174775A940668BE08DDD578447BC3B938BE56D0086F742B,1,14608,0,slime_independent,hgb,0.004921962111924688,full,3840,0.3061518999747932,mean_shift,2,1.0,2.1147880381505754e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,5.7632662977538875e-05,,
256,adult,2,0.5690939075739849,EE6BC1EC8004BC128CEA182A99392F012CE841A5D7F2A27B51E3C2D5453855F8,1,14608,0,glime_independent,hgb,0.007855568136562657,full,512,0.06394360004924238,mean_shift,2,1.0,0.00013301604734751918,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,0.8,9.198309548436772e-05,,
256,adult,2,0.5905145840694783,91C78895FC834B78F5C41AB165E22BFEFF2B5FF6CBA7C864D852CF2475B9BB4E,1,14608,0,kernelshap_independent,hgb,0.012696282381107267,full,516,0.09940289985388517,mean_shift,2,1.0,0.0003547188896185381,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,0.00015564629571934146,FC1D7B22665DCB2EC0FD84F28A3C02363618CE184DCF029917608BEAFD9D7875,1FF47983DAA42FCE569E84F21147029492641B6782B2B1AC4565349F12B77370
256,adult,2,0.5840936986820663,67E16ED7F2CA54CD3C8D45D56423DFD67C7444A74EF1DF6A0A077BCF9BE4CCB5,1,14608,0,kernelshap_paired,hgb,0.006670183432795399,full,516,0.08013879996724427,mean_shift,2,1.0,0.00012750829628696965,0.5743461427481465,1BF0DC9030A6991AC70D7696E8AE57937E6ECF8FB1355EB35A29277DF0EFC750,1.0,8.177112889581008e-05,A728E7F7D9015B90CC5D25C8F15A2299714059B11E4BA768D3E5A5DDE0C8862B,A728E7F7D9015B90CC5D25C8F15A2299714059B11E4BA768D3E5A5DDE0C8862B
256,adult,2,0.5543409303165672,7EABE13E05B63FFD90292CEEBCD31B2BC5B8681571572918507327E16F263A69,1,14608,0,lime_independent,hgb,0.0018755495602216573,full,512,0.07278389995917678,mean_shift,2,1.0,2.540916357841628e-05,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,2.1961346561373124e-05,,
256,adult,2,0.5602953151314154,3BF77D1E9AAE0AE751B98E4005EF9492D1AFB1C890454579992A633415AD7F05,1,14608,0,lime_paired,hgb,0.0015674035464906578,full,512,0.072947199922055,mean_shift,2,1.0,2.547927338405136e-06,0.5588690520357973,69160065DCF47B2E28C4E2C8682536E111FB955F0ED6EB79AF9177F112D10E4C,1.0,1.8353176698747717e-05,,
