dataset,model,scenario,severity,seed,method,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable,expl_time_s
adult,logreg,gradual,1.0,0,lime,0.4224390909711322,0.6230123524192998,0.5452614443140437,0.5439471042696651,0.8713060532341873,0.375,0.7111111111111111,0.6533333333333334,0.8260805860805862,0.9332617791835124,0.911957116957117,0.6060606060606061,0.6000000000000001,0.8245754245754245,0.9230618627937608,0.9090182544728,0.2193255424499511
adult,logreg,gradual,1.0,0,pi,0.4224390909711322,0.6230123524192998,0.5452614443140437,0.5439471042696651,0.8713060532341873,0.375,1.0,0.8,0.9692307692307692,0.9789768051215622,1.0,,,,,,0.0857307910919189
adult,rf,baseline,0.0,0,shap,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,rf,baseline,0.0,0,lime,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,rf,baseline,0.0,0,pi,0.8598921722514161,0.0,0.0,0.0316088025228373,0.83300289035888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
adult,rf,mean_shift,0.25,0,shap,0.8512250051184058,0.0238176482631543,0.0221824273439724,0.0336745715435983,0.821973793505665,0.98,0.9183333333333332,0.92,0.9767692307692308,0.984672528039132,0.9915416666666668,0.9200680272108844,0.923469387755102,0.978134110787172,0.9876807560619918,0.991935941043084,4.189706802368164
adult,rf,mean_shift,0.25,0,lime,0.8512250051184058,0.0238176482631543,0.0221824273439724,0.0336745715435983,0.821973793505665,0.98,0.5555555555555556,0.6466666666666666,0.4747252747252747,0.9049398416994148,0.7163576238576239,0.5555555555555556,0.6466666666666666,0.4747252747252747,0.9049398416994148,0.7163576238576239,0.7201461791992188
adult,rf,mean_shift,0.25,0,pi,0.8512250051184058,0.0238176482631543,0.0221824273439724,0.0336745715435983,0.821973793505665,0.98,1.0,0.8,0.978021978021978,0.9981436026066292,1.0,,,,,,0.7207794189453125
adult,rf,mean_shift,0.5,0,shap,0.8453558998157374,0.0381491844673445,0.0402884571952507,0.0405683181790709,0.8117814470404108,0.98,0.8733333333333333,0.875,0.9433406593406594,0.957335587645358,0.9779828088578087,0.8741496598639454,0.8785714285714286,0.9453240636914106,0.9614777508166648,0.9795846019060304,5.394496202468872
adult,rf,mean_shift,0.5,0,lime,0.8453558998157374,0.0381491844673445,0.0402884571952507,0.0405683181790709,0.8117814470404108,0.98,0.5777777777777776,0.6600000000000001,0.5075457875457876,0.8962820927525595,0.7179942279942282,0.5777777777777776,0.6600000000000001,0.5075457875457876,0.8962820927525595,0.7179942279942282,0.637822151184082
adult,rf,mean_shift,0.5,0,pi,0.8453558998157374,0.0381491844673445,0.0402884571952507,0.0405683181790709,0.8117814470404108,0.98,1.0,0.8,0.9516483516483516,0.9935419248470764,1.0,,,,,,0.8803880214691162
adult,rf,mean_shift,1.0,0,shap,0.5991264587456494,0.4622261652903842,0.3855696890072175,0.3834534740469364,0.7088903841564524,0.585,0.5833333333333334,0.755,0.5669670329670329,0.2363709061822511,0.8101898240648242,0.6210826210826211,0.7555555555555553,0.5839954916877992,0.2729723240597083,0.810512327178994,5.292298793792725
adult,rf,mean_shift,1.0,0,lime,0.5991264587456494,0.4622261652903842,0.3855696890072175,0.3834534740469364,0.7088903841564524,0.585,0.5444444444444444,0.6133333333333333,0.466080586080586,0.9034569892847202,0.729037999037999,0.55,0.5900000000000001,0.4193406593406593,0.8949887697212787,0.7002831890331891,0.8235065937042236
adult,rf,mean_shift,1.0,0,pi,0.5991264587456494,0.4622261652903842,0.3855696890072175,0.3834534740469364,0.7088903841564524,0.585,0.6666666666666666,0.8,0.7758241758241758,0.902409179350702,0.8888888888888888,,,,,,1.5404140949249268
adult,rf,mean_shift,1.5,0,shap,0.2692281444072886,0.8029072544871357,0.4906993746000915,0.4885542355366296,0.7289516849297988,0.195,0.5416666666666666,0.7719999999999999,0.4750769230769231,0.0908761750062147,0.7707988955488955,0.6410256410256412,0.7897435897435899,0.5776838546069317,0.3400910532801539,0.8581261331261328,3.703434705734253
adult,rf,mean_shift,1.5,0,lime,0.2692281444072886,0.8029072544871357,0.4906993746000915,0.4885542355366296,0.7289516849297988,0.195,0.4777777777777778,0.5533333333333332,0.4079120879120879,0.8794781955907226,0.6804437229437229,0.3333333333333333,0.4666666666666666,0.3611721611721611,0.7187189574915879,0.5757575757575758,0.649852991104126
adult,rf,mean_shift,1.5,0,pi,0.2692281444072886,0.8029072544871357,0.4906993746000915,0.4885542355366296,0.7289516849297988,0.195,0.3333333333333333,0.8,0.5692307692307692,0.8258247515018394,0.8888888888888888,,,,,,0.7900454998016357
adult,rf,mean_shift,2.0,0,shap,0.2602879956322937,0.8118474032621307,0.4953066089893506,0.4930055788223666,0.7329607163824204,0.185,0.5183333333333333,0.769,0.4625494505494505,0.0823203930899753,0.7623797036297038,0.6396396396396398,0.7891891891891893,0.5724383724383726,0.3511134936616467,0.8576030576030574,4.710686922073364
