budget,dimension,margin,margin_name,rho,signal,unit_id,seed,replications,truth_theta,truth_topk_changed,theory_independent_vector_mse,theory_paired_vector_mse,theory_mse_difference,empirical_independent_vector_mse,empirical_paired_vector_mse,empirical_mse_difference,difference_mcse,difference_ci95_low,difference_ci95_high,empirical_relative_reduction,identity_relative_error,zero_normalized_identity_error,expected_sign,empirical_sign,sign_match,paired_plugin_bias,independent_plugin_bias,paired_split_bias,independent_split_bias,paired_split_mse,independent_split_mse,paired_topk_disagreement,independent_topk_disagreement,paired_topk_condition_error,independent_topk_condition_error,paired_margin_bound_violation,independent_margin_bound_violation
64,8,0.5,separated,0.75,null,p08_b064_rhop0d75_null_separated,2348630808,8000,0.0,False,0.25,0.0625,0.1875,0.2498252188179509,0.06313419839030537,0.18669102042764552,0.0014440732151521079,0.1838606369259474,0.18952140392934363,0.7472865282014958,0.0043145577192239175,,1,1,True,0.06313419839030537,0.2498252188179509,0.00017459574488780228,-0.0024356521763758115,0.0018818638776312633,0.03064975066553116,0.004125,0.004875,0.004375,0.004875,0.0,0.0
64,8,0.05,near_tie,0.75,weak,p08_b064_rhop0d75_weak_near_tie,198533003,8000,0.009999999999999995,True,0.25,0.0625,0.1875,0.2504517036860502,0.06174960571627285,0.18870209796977733,0.0014564439645268431,0.18584746779930472,0.19155672814024993,0.7534470526354331,0.006411189172145744,,1,1,True,0.061770296745667266,0.25085414990062915,0.0005923038849763723,-0.0016666178480550138,0.0022460625898104453,0.032961257437041355,0.290875,0.52775,0.743125,0.627,0.0,0.0
64,8,0.5,separated,0.75,weak,p08_b064_rhop0d75_weak_separated,694218884,8000,0.30250000000000005,True,0.25,0.0625,0.1875,0.2476623036657218,0.0627173727961393,0.18494493086958252,0.0014525372215792656,0.18209795791528716,0.1877919038238779,0.7467625396847191,0.013627035362226536,,1,1,True,0.06383224973296803,0.24710135160933538,-0.00048323708205205707,0.0005149982670311637,0.011220107072427023,0.06942888400876429,0.608125,0.607375,0.409125,0.408,0.0,0.0
64,8,0.05,near_tie,0.75,moderate,p08_b064_rhop0d75_moderate_near_tie,1800492739,8000,0.30249999999999994,True,0.25,0.0625,0.1875,0.2476769051920952,0.06306016049683773,0.18461674469525746,0.0014342541280376441,0.18180560660430367,0.18742788278621125,0.7453934574645584,0.015377361625293537,,1,1,True,0.06428431042171345,0.24619650953438582,-0.0007960166659928825,0.0016477378175158708,0.011249062300190968,0.06951141396226541,0.609625,0.601375,0.392375,0.401625,0.0,0.0
64,8,0.5,separated,0.75,moderate,p08_b064_rhop0d75_moderate_separated,3721653489,8000,1.0,True,0.25,0.0625,0.1875,0.25112832910077604,0.0626206862665119,0.18850764283426413,0.0014514207489932966,0.18566285816623726,0.191352427502291,0.7506426834011918,0.0053740951160753765,,1,1,True,0.0591264464825243,0.2513699136003962,0.0025129619257249214,-0.0050058500203555845,0.03271927319555778,0.155246739100703,0.99625,0.995625,0.0455,0.048875,0.0,0.0
128,8,0.05,near_tie,-0.75,null,p08_b128_rhom0d75_null_near_tie,3321657189,8000,0.0,False,0.125,0.21875,-0.09375,0.12574520035676937,0.21781422877579795,-0.09206902841902859,0.0013986270420147902,-0.09481033742137758,-0.0893277194166796,-0.7321872179439581,0.017930363530361742,,-1,-1,True,0.21781422877579795,0.12574520035676937,-0.0021093656040011015,0.0029563141260850346,0.023218729209476627,0.007905883732560286,0.64925,0.445125,0.66975,0.57075,0.0,0.0
128,8,0.5,separated,-0.75,null,p08_b128_rhom0d75_null_separated,618405758,8000,0.0,False,0.125,0.21875,-0.09375,0.12428379783538153,0.21793588412773277,-0.09365208629235124,0.0014013191030390313,-0.09639867173430773,-0.09090550085039474,-0.7535341526688528,0.0010444128815868166,,-1,-1,True,0.21793588412773277,0.12428379783538153,0.0007221614154697517,0.00014059263215210444,0.024232659877729212,0.007723862692728405,0.0,0.000125,0.0,0.000125,0.0,0.0
128,8,0.05,near_tie,-0.75,weak,p08_b128_rhom0d75_weak_near_tie,1177440631,8000,0.009999999999999995,True,0.125,0.21875,-0.09375,0.12477975990265087,0.2190643724536589,-0.09428461255100802,0.001397855201125002,-0.09702440874521302,-0.09154481635680302,-0.7556082222354477,0.005702533877418888,,-1,-1,True,0.21910412364820292,0.12492004301801275,-0.00022528853047910045,-0.0007549738987355347,0.02521131307003916,0.008576648711544892,0.792875,0.55575,0.449875,0.5655,0.0,0.0
128,8,0.5,separated,-0.75,weak,p08_b128_rhom0d75_weak_separated,1012011362,8000,0.30250000000000005,True,0.125,0.21875,-0.09375,0.12426333213823958,0.21762053054164485,-0.09335719840340527,0.001389579726390099,-0.09608077466712986,-0.09063362213968068,-0.7512851683354824,0.004189883697010455,,-1,-1,True,0.22035409982153736,0.12253175306768815,0.003962351212626114,0.001402045660418183,0.05752985411265284,0.02694219308921124,0.662875,0.66475,0.339,0.33725,0.0,0.0
128,8,0.05,near_tie,-0.75,moderate,p08_b128_rhom0d75_moderate_near_tie,1456689315,8000,0.30249999999999994,True,0.125,0.21875,-0.09375,0.12431306065083324,0.21838949597262172,-0.09407643532178848,0.0014016385775833624,-0.09682364693385187,-0.0913292237097251,-0.7567703250910018,0.0034819767657438363,,-1,-1,True,0.22309176961091842,0.12684727874053126,0.0023494580085862693,-0.0015765913286226452,0.05812771839206948,0.025958712986363784,0.66775,0.66075,0.33225,0.33925,0.0,0.0
128,8,0.5,separated,-0.75,moderate,p08_b128_rhom0d75_moderate_separated,3259779682,8000,1.0,True,0.125,0.21875,-0.09375,0.12488959170391378,0.2176956254939826,-0.09280603379006883,0.0013822664147883394,-0.09551527596305397,-0.09009679161708369,-0.7431046296483366,0.010068972905932524,,-1,-1,True,0.21957637586542034,0.1261378273755449,0.012113492543272653,0.005817908954516282,0.13342305193005738,0.07038231686405422,1.0,0.999875,0.007,0.008125,0.0,0.0
128,8,0.05,near_tie,-0.25,null,p08_b128_rhom0d25_null_near_tie,3408799183,8000,0.0,False,0.125,0.15625,-0.03125,0.12427971101019912,0.15563489182184603,-0.03135518081164691,0.0011126877897630868,-0.033536048879582565,-0.029174312743711264,-0.25229525042163736,0.0033657859727012074,,-1,-1,True,0.15563489182184603,0.12427971101019912,-0.0004984870040574573,-0.0009021150010187832,0.012206024238974864,0.007842639589308977,0.512875,0.453375,0.600875,0.568375,0.0,0.0
128,8,0.5,separated,-0.25,null,p08_b128_rhom0d25_null_separated,1220243853,8000,0.0,False,0.125,0.15625,-0.03125,0.12467887298743119,0.15595993613878698,-0.03128106315135579,0.0011196795760865046,-0.033475635120485334,-0.029086491182226237,-0.2508930535048164,0.0009940208433851794,,-1,-1,True,0.15595993613878698,0.12467887298743119,0.001595455031562004,0.00013675910676922543,0.012441660534492744,0.00775497418594415,0.0,0.000125,0.0,0.000125,0.0,0.0
128,8,0.05,near_tie,-0.25,weak,p08_b128_rhom0d25_weak_near_tie,3306080123,8000,0.009999999999999995,True,0.125,0.15625,-0.03125,0.1258476912434467,0.15603203371149596,-0.03018434246804927,0.0011076558333168263,-0.03235534790135025,-0.02801333703474829,-0.2398482019797965,0.034101041022423395,,-1,-1,True,0.15627738545176456,0.125588071410753,5.080847429754509e-05,0.0011500503832967603,0.012996557220440576,0.008111855922414486,0.611,0.544,0.54125,0.57325,0.0,0.0
128,8,0.5,separated,-0.25,weak,p08_b128_rhom0d25_weak_separated,1817166453,8000,0.30250000000000005,True,0.125,0.15625,-0.03125,0.1244508748176442,0.15645576864189797,-0.03200489382425377,0.0011215505052759992,-0.03420313281459473,-0.02980665483391281,-0.2571688939201915,0.024156602376120606,,-1,-1,True,0.1561924991960113,0.12415711217330488,-0.0024341735007058496,-0.00033743799177049505,0.0359811121431199,0.026846985640489172,0.654375,0.665375,0.348375,0.3365,0.0,0.0
128,8,0.05,near_tie,-0.25,moderate,p08_b128_rhom0d25_moderate_near_tie,235773648,8000,0.30249999999999994,True,0.125,0.15625,-0.03125,0.12305277900641412,0.1558558712565275,-0.03280309225011338,0.0011197846346678634,-0.034997870134062393,-0.030608314366164367,-0.26657741917720945,0.04969895200362817,,-1,-1,True,0.15788842216807386,0.12048316686920835,0.0018915685071610455,0.0035513960125354016,0.03582611095683552,0.02736834425548565,0.668375,0.65375,0.331625,0.34625,0.0,0.0
128,8,0.5,separated,-0.25,moderate,p08_b128_rhom0d25_moderate_separated,3972789263,8000,1.0,True,0.125,0.15625,-0.03125,0.1255541661766912,0.15529135451027815,-0.029737188333586934,0.0011132647646446734,-0.03191918727229049,-0.027555189394883373,-0.23684748375245523,0.048409973325218125,,-1,-1,True,0.14881577842020488,0.12368237772718338,-0.0040991245348792615,-0.0009522321776442855,0.08932119333158554,0.06905022868866578,0.99975,1.0,0.009125,0.008875,0.0,0.0
128,8,0.05,near_tie,0.0,null,p08_b128_rhop0d00_null_near_tie,1320096801,8000,0.0,False,0.125,0.125,0.0,0.12334756167831921,0.1243557099050613,-0.0010081482267420838,0.0009878926857961033,-0.002944417890902446,0.0009281214374182785,-0.008173231906855705,,0.00806518581393667,0,-1,False,0.1243557099050613,0.12334756167831923,-0.001987007227021787,-0.0019113240880274187,0.007799475749866119,0.007847733523377629,0.459,0.46,0.583125,0.575875,0.0,0.0
128,8,0.5,separated,0.0,null,p08_b128_rhop0d00_null_separated,1922178070,8000,0.0,False,0.125,0.125,0.0,0.1262422011136906,0.12474862803003611,0.001493573083654498,0.000991329029552529,-0.0004494318142684588,0.003436577981577455,0.011831012692098297,,0.011948584669235984,0,1,False,0.12474862803003611,0.12624220111369058,0.00023683955657187713,0.0003328294306464831,0.007688544260669701,0.00781700852180606,0.0,0.0,0.0,0.0,0.0,0.0
128,8,0.05,near_tie,0.0,weak,p08_b128_rhop0d00_weak_near_tie,2908897290,8000,0.009999999999999995,True,0.125,0.125,0.0,0.1253045443225796,0.12380662538466845,0.0014979189379111385,0.00099608662650458,-0.0004544108500378382,0.0034502487258601154,0.011954226768144616,,0.011983351503289108,0,1,False,0.12376208292061565,0.12521429423184566,0.0005445752267837847,0.00047560597715581333,0.00869627984682659,0.008365020162687526,0.552625,0.54825,0.568875,0.577125,0.0,0.0
128,8,0.5,separated,0.0,weak,p08_b128_rhop0d00_weak_separated,829933035,8000,0.30250000000000005,True,0.125,0.125,0.0,0.12457046182792038,0.12469723059749839,-0.00012676876957801175,0.0009839462193619976,-0.002055303359527527,0.0018017658203715035,-0.0010176471028351397,,0.001014150156624094,0,-1,False,0.12500402081200018,0.12613432935242092,0.00054683855258153,-0.001791054064711417,0.02678703923662383,0.026327780255443755,0.6605,0.660375,0.341375,0.341625,0.0,0.0
128,8,0.05,near_tie,0.0,moderate,p08_b128_rhop0d00_moderate_near_tie,1703608550,8000,0.30249999999999994,True,0.125,0.125,0.0,0.12502967020290348,0.12450616584852801,0.0005235043543754675,0.000985218109699826,-0.0014075231406361914,0.0024545318493871264,0.004187040992157276,,0.00418803483500374,0,1,False,0.12218552748864642,0.12167491614610332,-0.00015341589983314252,0.0013409484775467329,0.02764882205180205,0.026865279437105306,0.66025,0.649375,0.33975,0.350625,0.0,0.0
128,8,0.5,separated,0.0,moderate,p08_b128_rhop0d00_moderate_separated,2989939929,8000,1.0,True,0.125,0.125,0.0,0.12445395756817129,0.12444459261118439,9.364956986904205e-06,0.0009928264228614722,-0.0019365748318215814,0.0019553047457953896,7.524836630268261e-05,,7.491965589523364e-05,0,1,False,0.1257609105386197,0.12475244154143827,0.0028766298376110555,-0.0012555038983569355,0.07039288502852209,0.0695496829128777,0.999875,1.0,0.00775,0.007375,0.0,0.0
128,8,0.05,near_tie,0.25,null,p08_b128_rhop0d25_null_near_tie,1638123238,8000,0.0,False,0.125,0.09375,0.03125,0.12442155489460924,0.09383494666683226,0.03058660822777698,0.0008715316664817238,0.0288784061614728,0.032294810294081155,0.24583046123869168,0.02122853671113667,,1,1,True,0.09383494666683226,0.12442155489460924,-0.0006710486505717305,-0.00011363529216876312,0.004390085644403083,0.007763094392591526,0.3885,0.46275,0.542375,0.581625,0.0,0.0
128,8,0.5,separated,0.25,null,p08_b128_rhop0d25_null_separated,3341177551,8000,0.0,False,0.125,0.09375,0.03125,0.1245028262163074,0.09289016374581455,0.03161266247049285,0.0008717698128460232,0.029903993637314646,0.033321331303671056,0.2539112037149259,0.011605199055771287,,1,1,True,0.09289016374581455,0.1245028262163074,-0.00017192121987486371,-0.00025309342722217324,0.004439816194924938,0.007738843576537352,0.0,0.0,0.0,0.0,0.0,0.0
128,8,0.05,near_tie,0.25,weak,p08_b128_rhop0d25_weak_near_tie,451156437,8000,0.009999999999999995,True,0.125,0.09375,0.03125,0.12395411817687799,0.09412156258808103,0.029832555588796952,0.0008795613654581712,0.028108615312498936,0.031556495865094965,0.24067417870075913,0.045358221158497525,,1,1,True,0.09416546502645756,0.12361390796467818,-0.0004734348702851946,0.00035941068084927377,0.00492571165682336,0.008140074246092794,0.488375,0.553,0.60075,0.568,0.0,0.0
128,8,0.5,separated,0.25,weak,p08_b128_rhop0d25_weak_separated,3309250726,8000,0.30250000000000005,True,0.125,0.09375,0.03125,0.1249054828762089,0.09472771396705372,0.030177768909155175,0.0008762788546606738,0.028460262354020254,0.03189527546429009,0.24160483762801432,0.03431139490703439,,1,1,True,0.09256155468690946,0.1230568574224068,-0.0014719962127580088,-0.0006399100164174443,0.018142353653197107,0.026566720068411185,0.6465,0.66325,0.3555,0.338625,0.0,0.0
128,8,0.05,near_tie,0.25,moderate,p08_b128_rhop0d25_moderate_near_tie,2536750744,8000,0.30249999999999994,True,0.125,0.09375,0.03125,0.12555237202605915,0.09267920091925952,0.03287317110679963,0.000877820813519843,0.03115264231230074,0.03459369990129852,0.26182835558038364,0.0519414754175882,,1,1,True,0.09273619263413724,0.12698014182401263,-0.0003710546564884565,0.001936504723257071,0.018519264971302577,0.026055413636421637,0.653125,0.65175,0.346875,0.34825,0.0,0.0
