candidate_indices_sha256,channel,crossfit_auc,crossfit_auprc,dataset,independent_mask_difference,label,model,paired_mask_identity,phase,query_total,reference_indices_sha256,replicate,representation_sha256,runtime_sec,scenario,score,seed,severity,severity_index,split,window_size,threshold,alarm
766593887AA2D61660E7E25528015C7E14BECF3F2A8DF28E70C3499ACE8568EF,input,0.74609375,0.7951312065127853,adult,,1,hgb,,full,0,D55DC5AC29C7910F929C5A306DA1C2169FE4C1290D25C952445661024F68D8A8,1,606CADE3D82807B4719E70035CB0DEA51334BD858BD63B89B3794CE041EA4448,0.9395261998288333,mean_shift,0.4921875,0,0.25,1,calibration,16,0.5859375,False
766593887AA2D61660E7E25528015C7E14BECF3F2A8DF28E70C3499ACE8568EF,output,0.6640625,0.6878604033453273,adult,,1,hgb,,full,0,D55DC5AC29C7910F929C5A306DA1C2169FE4C1290D25C952445661024F68D8A8,1,886F4F028C73564CC44A847D5489F2B8AB382B0D2340A8D5CBE5CE8591625399,0.9395301998592913,mean_shift,0.328125,0,0.25,1,calibration,16,0.46875,False
A54732E6A87F5F9CF3347D91AF76983CF25ADBE24E7840F891637FCC11E4636C,explanation_independent,,,adult,True,1,hgb,True,full,4096,0338EFE1A25B75E06DA39D67A8BBB48671F2FB8C2C53F0DE7697AF36053F8BA9,0,E4CD76D330D60E78B6BE7866DF18E3181DD17AAC3A8379940EE50443046F04C4,0.7656891997903585,mean_shift,1.2576944675367674,0,1.0,3,calibration,16,0.9527189849109015,True
A54732E6A87F5F9CF3347D91AF76983CF25ADBE24E7840F891637FCC11E4636C,explanation_paired,,,adult,True,1,hgb,True,full,4096,0338EFE1A25B75E06DA39D67A8BBB48671F2FB8C2C53F0DE7697AF36053F8BA9,0,1C16A8AB6B120A3B1D5A7C94043BE2CA09F911943AE052C321DE4B32058F79CF,0.7656916999258101,mean_shift,1.2470710438055603,0,1.0,3,calibration,16,0.9527189849109015,True
A54732E6A87F5F9CF3347D91AF76983CF25ADBE24E7840F891637FCC11E4636C,explanation_shift,0.921875,0.833298421349892,adult,,1,hgb,,full,0,0338EFE1A25B75E06DA39D67A8BBB48671F2FB8C2C53F0DE7697AF36053F8BA9,0,13273235D64EF78948BB83729CB15325BF6198F640FE927B11C5C017E4B1F5A2,0.88093619979918,mean_shift,0.84375,0,1.0,3,calibration,16,0.4765625,True
A54732E6A87F5F9CF3347D91AF76983CF25ADBE24E7840F891637FCC11E4636C,input,0.65625,0.7294584881201729,adult,,1,hgb,,full,0,0338EFE1A25B75E06DA39D67A8BBB48671F2FB8C2C53F0DE7697AF36053F8BA9,0,80AA277135CC197C6CD44BA3B02FBFB9D426B43685CC067ADC7B653C2F63631F,0.8809314998798072,mean_shift,0.3125,0,1.0,3,calibration,16,0.5859375,False
A54732E6A87F5F9CF3347D91AF76983CF25ADBE24E7840F891637FCC11E4636C,output,0.93359375,0.9287906027795734,adult,,1,hgb,,full,0,0338EFE1A25B75E06DA39D67A8BBB48671F2FB8C2C53F0DE7697AF36053F8BA9,0,7A4A21FA671CE53080FFF7D7D9438724510FD19E2879D7AA011E5C6C1D63DD0E,0.8809348999056965,mean_shift,0.8671875,0,1.0,3,calibration,16,0.46875,True
26FF9145B5493DE0AFE344BB34825E4D7C375A05E514407E6D21CDFECF3B257B,explanation_independent,,,adult,True,1,hgb,True,full,4096,3A04BA53AF0645258CC427CBAC6F7729CD42E61736A83BCC94B57EE093F340C5,1,7449357FDBD0BD85C5DA03551BC5A26A7E61D313053A7DCDB81D808F432C919A,0.6489022001624107,mean_shift,1.3614045866351834,0,1.0,3,calibration,16,0.9527189849109015,True
26FF9145B5493DE0AFE344BB34825E4D7C375A05E514407E6D21CDFECF3B257B,explanation_paired,,,adult,True,1,hgb,True,full,4096,3A04BA53AF0645258CC427CBAC6F7729CD42E61736A83BCC94B57EE093F340C5,1,E326A695A7A6903E96012C9136831D5C6B5F842119E8DC9C9F1E6313FD46F02A,0.6489042001776397,mean_shift,1.357724581255467,0,1.0,3,calibration,16,0.9527189849109015,True
26FF9145B5493DE0AFE344BB34825E4D7C375A05E514407E6D21CDFECF3B257B,explanation_shift,0.984375,0.9875,adult,,1,hgb,,full,0,3A04BA53AF0645258CC427CBAC6F7729CD42E61736A83BCC94B57EE093F340C5,1,AC77F6E8B0A9F1888CA0B5B00A53DA00BE97A22A0CC72A4BBDF8C48BBBDA329D,0.7354745001066476,mean_shift,0.96875,0,1.0,3,calibration,16,0.4765625,True
26FF9145B5493DE0AFE344BB34825E4D7C375A05E514407E6D21CDFECF3B257B,input,0.83984375,0.8454584718135919,adult,,1,hgb,,full,0,3A04BA53AF0645258CC427CBAC6F7729CD42E61736A83BCC94B57EE093F340C5,1,5799CFCAEFBF2CA2832379C08A01BC8CD35848F436323F0CE90D7D664307872B,0.7354687000624835,mean_shift,0.6796875,0,1.0,3,calibration,16,0.5859375,True
