dataset,model,seed,budget_instances,budget_samples,scenario,severity,n_explained,method,fit_time_s,pred_base_time_s,pred_time_s,expl_time_s,context_cache_hit,base_cache_hit,acc,flip,dconf,ece,mean_conf,stable_frac,top3_all,top5_all,spearman_all,cosine_all,sign_all,top3_stable,top5_stable,spearman_stable,cosine_stable,sign_stable
adult,hgb,1,30,500,mean_shift,2.0,30,lime,1.837573766708374,0.136873722076416,0.1024041175842285,2.2669131755828857,False,False,0.239131918378489,0.7920562342182488,0.7551742782984979,0.7544754134819908,0.9935404489740968,0.2333333333333333,0.4555555555555555,0.4866666666666666,0.1547252747252747,0.6037201952020681,0.5476911976911976,0.3333333333333333,0.4857142857142857,0.2131868131868131,0.3385240418546017,0.5044241472812901
adult,hgb,1,30,500,missing,0.5,30,lime,1.837573766708374,0.136873722076416,0.1367175579071045,2.4263336658477783,False,False,0.8439227461953184,0.0750699515457585,0.0708958693864838,0.015033992631506,0.854701313795038,0.9333333333333332,0.6111111111111112,0.5800000000000001,0.4757509157509157,0.7657631321660305,0.6996498871498871,0.6071428571428573,0.5714285714285714,0.478021978021978,0.7695292661428629,0.7039205833848691
adult,hgb,1,30,500,noise,1.0,30,lime,1.837573766708374,0.136873722076416,0.1488122940063476,2.40325665473938,False,False,0.7135740121476831,0.2545553811506176,0.2442129014828784,0.2096192503020614,0.917657486638542,0.8666666666666667,0.5333333333333333,0.5533333333333333,0.4212454212454212,0.6104074743186751,0.6675855625855626,0.5256410256410257,0.5461538461538462,0.401352493660186,0.592169921532327,0.6601261985877371
adult,hgb,1,30,500,quantize,2.0,30,lime,1.837573766708374,0.136873722076416,0.1362128257751464,2.4893569946289062,False,False,0.7947178052275985,0.1732750972497099,0.2000411648261593,0.1984357199479062,0.9931354088971944,0.8333333333333334,0.6,0.6133333333333334,0.379047619047619,0.7791370812324708,0.6510318385318385,0.6266666666666666,0.6080000000000001,0.3819780219780219,0.8242956540300912,0.6454140304140304
adult,hgb,1,75,1000,baseline,0.0,75,lime,1.837573766708374,0.1260960102081298,0.1613035202026367,6.831557750701904,False,False,0.8755886166655292,0.0,0.0,0.0096424524558152,0.8783168590876912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,hgb,1,75,1000,gradual,1.0,75,lime,1.837573766708374,0.1260960102081298,0.1064269542694091,6.63226580619812,False,False,0.239609636251962,0.7913055347027912,0.7501386356634471,0.7497391428172652,0.9891086855161948,0.2133333333333333,0.5377777777777777,0.5093333333333334,0.3995604395604395,0.7999574717542055,0.6624633144633144,0.4583333333333332,0.4125,0.2744505494505495,0.5237019903112753,0.5887508325008325
adult,hgb,1,75,1000,mean_shift,2.0,75,lime,1.837573766708374,0.1260960102081298,0.1056900024414062,6.894357442855835,False,False,0.239131918378489,0.7920562342182488,0.7551742782984979,0.7544754134819908,0.9935404489740968,0.2,0.4622222222222223,0.5279999999999999,0.2532747252747253,0.7350728840232531,0.593992118992119,0.4444444444444443,0.5066666666666667,0.1038827838827838,0.4421085419138402,0.4950989750989751
adult,hgb,1,75,1000,missing,0.5,75,lime,1.837573766708374,0.1260960102081298,0.1182498931884765,6.919877767562866,False,False,0.8439227461953184,0.0750699515457585,0.0708958693864838,0.015033992631506,0.854701313795038,0.9333333333333332,0.631111111111111,0.6079999999999999,0.5398095238095239,0.8754208514201323,0.7489012099012099,0.6238095238095237,0.6057142857142856,0.5400313971742544,0.8761101755821782,0.7510899021613309
adult,hgb,1,75,1000,noise,1.0,75,lime,1.837573766708374,0.1260960102081298,0.1297910213470459,6.873134613037109,False,False,0.7135740121476831,0.2545553811506176,0.2442129014828784,0.2096192503020614,0.917657486638542,0.8,0.5333333333333332,0.5653333333333334,0.4714725274725275,0.7287640766441705,0.7177797017797017,0.5277777777777778,0.5766666666666667,0.4847619047619046,0.7133516954414095,0.7215728253228252
adult,hgb,1,75,1000,quantize,2.0,75,lime,1.837573766708374,0.1260960102081298,0.1137471199035644,6.974968910217285,False,False,0.7947178052275985,0.1732750972497099,0.2000411648261593,0.1984357199479062,0.9931354088971944,0.84,0.6488888888888888,0.5973333333333334,0.5020659340659341,0.8822475724708545,0.7139455359455359,0.64021164021164,0.5968253968253968,0.484458398744113,0.9010983014436974,0.7057188842903127
