dataset,model,scenario,method,explanation_first,monitor,first_alert,explanation_before_monitor,same_as_monitor,after_monitor
electricity,logreg,noise,pi,3,prediction_ks_alert,2,False,False,True
electricity,logreg,noise,shap,3,feature_ks_alert,1,False,False,True
electricity,logreg,noise,shap,3,prediction_ks_alert,2,False,False,True
electricity,logreg,quantize,lime,1,feature_ks_alert,1,False,True,False
electricity,logreg,quantize,lime,1,prediction_ks_alert,3,True,False,False
electricity,logreg,quantize,pi,4,feature_ks_alert,1,False,False,True
electricity,logreg,quantize,pi,4,prediction_ks_alert,3,False,False,True
electricity,logreg,quantize,shap,6,feature_ks_alert,1,False,False,True
electricity,logreg,quantize,shap,6,prediction_ks_alert,3,False,False,True
electricity,rf,gradual,lime,1,feature_ks_alert,1,False,True,False
electricity,rf,gradual,lime,1,prediction_ks_alert,1,False,True,False
electricity,rf,gradual,pi,1,feature_ks_alert,1,False,True,False
electricity,rf,gradual,pi,1,prediction_ks_alert,1,False,True,False
electricity,rf,gradual,shap,1,feature_ks_alert,1,False,True,False
electricity,rf,gradual,shap,1,prediction_ks_alert,1,False,True,False
electricity,rf,mean_shift,lime,1,feature_ks_alert,1,False,True,False
electricity,rf,mean_shift,lime,1,prediction_ks_alert,1,False,True,False
electricity,rf,mean_shift,pi,1,feature_ks_alert,1,False,True,False
electricity,rf,mean_shift,pi,1,prediction_ks_alert,1,False,True,False
electricity,rf,mean_shift,shap,1,feature_ks_alert,1,False,True,False
electricity,rf,mean_shift,shap,1,prediction_ks_alert,1,False,True,False
electricity,rf,missing,lime,1,feature_ks_alert,1,False,True,False
electricity,rf,missing,lime,1,prediction_ks_alert,1,False,True,False
electricity,rf,missing,pi,1,feature_ks_alert,1,False,True,False
electricity,rf,missing,pi,1,prediction_ks_alert,1,False,True,False
electricity,rf,missing,shap,3,feature_ks_alert,1,False,False,True
electricity,rf,missing,shap,3,prediction_ks_alert,1,False,False,True
electricity,rf,noise,lime,1,feature_ks_alert,1,False,True,False
electricity,rf,noise,lime,1,prediction_ks_alert,1,False,True,False
electricity,rf,noise,pi,1,feature_ks_alert,1,False,True,False
electricity,rf,noise,pi,1,prediction_ks_alert,1,False,True,False
electricity,rf,noise,shap,1,feature_ks_alert,1,False,True,False
electricity,rf,noise,shap,1,prediction_ks_alert,1,False,True,False
electricity,rf,quantize,lime,1,feature_ks_alert,1,False,True,False
electricity,rf,quantize,lime,1,prediction_ks_alert,1,False,True,False
electricity,rf,quantize,pi,1,feature_ks_alert,1,False,True,False
electricity,rf,quantize,pi,1,prediction_ks_alert,1,False,True,False
electricity,rf,quantize,shap,1,feature_ks_alert,1,False,True,False
electricity,rf,quantize,shap,1,prediction_ks_alert,1,False,True,False
