arm,dataset,split,model,scenario,window,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E2,electricity,14,logreg,null,0,E2-electricity-14-logreg-null-0,ks_complement,128,6.368424093971807e-07,1.6051430089702513e-05,5.7780573020076136e-08,1.9176450594935835e-08,6.176659588022448e-07,0.0,6.260750045728191e-07,1.5780040742455106e-05,4.63371679012572e-08,7.687978789819732e-09,6.183870257829995e-07,0.0,0.039675119652157025,8.627692710349532e-08,-7.550952227913363e-08,-1.1911400820763599e-22
E2,electricity,14,logreg,null,0,E2-electricity-14-logreg-null-0,leverage,128,1.933560283975091e-07,4.8734831827280165e-06,1.7174319448697765e-08,5.428872185443678e-09,1.879271562120654e-07,0.0,2.2620191219248133e-07,5.701354253639494e-06,1.9968850912578094e-08,6.219980160584545e-09,2.1998193203189678e-07,0.0,0.039675119652157025,1.1221538326153479e-08,-4.406742212112529e-08,-4.235164736271502e-22
E2,adult,14,logreg,null,1,E2-adult-14-logreg-null-1,ks_complement,512,7.074366283607622e-06,0.00021413614095251715,6.122727715894109e-07,1.814665374548635e-07,6.892899746152758e-06,0.0,9.600449107657169e-06,0.00029059890892112135,5.490170206042919e-07,-5.44117851992332e-08,9.654860892856402e-06,0.0,0.033036769282100316,1.0859732028057783e-06,-3.6120560268553276e-06,2.117582368135751e-21
E2,adult,14,logreg,null,1,E2-adult-14-logreg-null-1,leverage,512,2.9060439333737506e-06,8.796392615025699e-05,1.40096321519049e-07,-4.43001859379311e-08,2.9503441193116814e-06,0.0,4.766194001208146e-06,0.00014426937333096072,3.3395681990589444e-07,3.847434115241095e-08,4.727719660055736e-06,0.0,0.033036769282100316,-3.98295656805993e-08,-1.8203205021537968e-06,1.0587911840678754e-21
E2,electricity,14,logreg,null,1,E2-electricity-14-logreg-null-1,ks_complement,128,3.988683210877599e-06,3.792525283200946e-05,2.817662340692331e-07,3.463843561534205e-08,3.954044775262257e-06,0.0,5.050340806668537e-06,4.8019720257146414e-05,3.0822154118812673e-07,-7.919743177233917e-09,5.05826054984577e-06,0.0,0.10517222465320239,-1.6688926590921993e-06,6.072350633012645e-07,-2.541098841762901e-21
E2,electricity,14,logreg,null,1,E2-electricity-14-logreg-null-1,leverage,128,9.209365300213599e-07,8.756461442724824e-06,2.1898276569609875e-08,-3.8037606993840135e-08,9.589741370152002e-07,0.0,1.0651987339598238e-06,1.0128137324015325e-05,9.192873034449886e-08,2.7044063436810514e-08,1.0381546705230136e-06,0.0,0.10517222465320239,-1.417082376271999e-07,-2.5539663112697056e-09,5.7505596184686484e-21
E2,adult,14,logreg,null,2,E2-adult-14-logreg-null-2,ks_complement,512,7.700040096742293e-06,0.00011341841808658107,6.480321285836068e-07,1.7789826403969437e-07,7.522141832702599e-06,0.062499999999999986,6.477756742979643e-06,9.541468788575112e-05,3.061926698823992e-07,-1.0524493499075042e-07,6.5830016779703935e-06,0.062499999999999986,0.06789056157408452,4.3194708287643553e-07,7.903362708862258e-07,-1.1329065669526267e-20
E2,adult,14,logreg,null,2,E2-adult-14-logreg-null-2,leverage,512,4.14914092534135e-06,6.111513631852441e-05,7.163100350351118e-08,-2.0020299128567812e-07,4.3493439166270285e-06,0.024999999999999994,4.114403004874828e-06,6.060346106262576e-05,1.7116461134191107e-07,-9.171794822695001e-08,4.206120953101777e-06,0.03749999999999999,0.06789056157408452,2.8521279574533026e-07,-2.5047487527881206e-07,4.0234064994579266e-21
E2,electricity,14,logreg,null,2,E2-electricity-14-logreg-null-2,ks_complement,128,2.281452528355207e-06,0.00014627044489606454,2.3172149714713967e-07,9.507276173326851e-08,2.1863797666219386e-06,0.0,2.1247316150555698e-06,0.000136222619036027,3.006034198929117e-07,1.7899487354873445e-07,1.9457367415068358e-06,0.0,0.01559749496883215,1.2829409065438262e-08,1.438915042342019e-07,-3.044024654195142e-21
E2,electricity,14,logreg,null,2,E2-electricity-14-logreg-null-2,leverage,128,4.418594965102766e-07,2.832887571967337e-05,1.8170737190790416e-08,-1.0075180097175329e-08,4.519346766074519e-07,0.0,4.296745728780505e-07,2.754766542554763e-05,1.4904644535540114e-08,-1.2746684020627248e-08,4.424212568986778e-07,0.0,0.01559749496883215,1.3598658433187744e-09,1.0825057788906487e-08,8.304893350032398e-22
