arm,dataset,split,model,scenario,instance,unit_id,method,budget,mse_crn,nmse_crn,bias2_plugin_crn,bias2_corrected_crn,variance_crn,top5_mismatch_crn,mse_independent,nmse_independent,bias2_plugin_independent,bias2_corrected_independent,variance_independent,top5_mismatch_independent,normalizer,mse_difference_marginal,mse_difference_cross,mse_identity_residual
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,ks_iid,1024,0.0003015871784716307,0.0006466686382960045,1.0225380035679815e-05,8.266123441975295e-07,0.00030076056612743314,0.006249999999999999,0.00027950116940204885,0.0005993114214448141,1.0452133583629333e-05,1.773132428196445e-06,0.0002777280369738524,0.012499999999999997,0.46637050354927356,-7.872387211507245e-07,2.2873247790732516e-05,3.7269449679189215e-20
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,ks_complement,512,0.00046310147323992505,0.0009929904865670753,1.2529345085408462e-05,-2.0052396937694936e-06,0.00046510671293369457,0.031249999999999993,0.0005117130153520559,0.0010972242272135715,2.9135932016869922e-05,1.3568929328638119e-05,0.0004981440860234177,0.03749999999999999,0.46637050354927356,-4.1893710971525556e-05,-6.717831140605281e-06,-1.0164395367051604e-20
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,ks_complement,1024,0.00026715094811818744,0.0005728298554155067,2.665091429859934e-06,-5.866710398795792e-06,0.0002730176585169832,0.012499999999999997,0.00019482770044806734,0.00041775305034376636,6.650147333652339e-06,5.799036848002407e-07,0.00019424779676326714,0.006249999999999999,0.46637050354927356,7.505028139338598e-05,-2.7270337232658882e-06,6.3527471044072525e-21
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,leverage,512,0.00023746451155185524,0.0005091756655805878,6.146066700752361e-06,-1.3158186170251512e-06,0.0002387803301688804,0.012499999999999997,0.00023431683594205477,0.0005024263630714339,7.91386845880645e-06,6.105469270887614e-07,0.00023370628901496601,0.006249999999999999,0.46637050354927356,6.590454793148301e-06,-3.442779183347762e-06,-6.437450399132683e-20
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,leverage,1024,9.729396199875207e-05,0.0002086194586885417,4.11167895812082e-06,1.105798860035941e-06,9.618816313871613e-05,0.0,9.916124201397139e-05,0.00021262331399458817,3.920834465945254e-06,8.485632547186047e-07,9.831267875925277e-05,0.0,0.46637050354927356,-1.031525913629269e-06,-8.357541015900431e-07,-6.776263578034403e-21
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,poly3,512,0.0015976339817796912,0.0034256754439250165,0.001502289232465399,0.0014992135953907442,9.842038638894739e-05,0.04999999999999999,0.0016778501171600363,0.0035976763204167046,0.0015111930675846194,0.001505817033727348,0.00017203308343268842,0.09999999999999998,0.46637050354927356,-9.71817481052576e-06,-7.049796056981923e-05,-1.0842021724855044e-19
E1,adult,11,logreg,mean_shift,1,E1-adult-11-logreg-mean_shift-1,poly3,1024,0.00037310203226855056,0.0008000120707229314,0.00031228956018726495,0.00031032786753948155,6.277416472906903e-05,0.0,0.0004216544290352339,0.000904118990858702,0.0003052522982866157,0.00030149739084311185,0.00012015703819212201,0.0,0.46637050354927356,7.744110668706281e-06,-5.629650743538969e-05,5.421010862427522e-20
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,ks_iid,128,0.00022482313356382506,0.0009436174997723766,3.6871058063364084e-06,-3.4463144439051626e-06,0.00022826944800773027,0.11874999999999997,0.00017879508406165302,0.0007504306497265,3.3036880440847364e-06,-2.3573247306755312e-06,0.00018115240879232856,0.12499999999999997,0.23825663854057164,-1.7369782951960843e-05,6.339783245413289e-05,0.0
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,ks_iid,192,0.00014665095827043827,0.0006155167770717363,1.031385408522196e-06,-3.6660201676686454e-06,0.00015031697843810693,0.11874999999999997,0.00012089181585539234,0.0005074016682007634,5.637015426593371e-06,1.9191186385675977e-06,0.00011897269721682476,0.11249999999999998,0.23825663854057164,-1.2926003225370926e-05,3.868514564041686e-05,6.776263578034403e-21
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,ks_complement,128,2.0031727862480593e-05,8.407626324783174e-05,4.1984948317989383e-07,-2.1279175486206434e-07,2.024451961734266e-05,0.031249999999999993,2.068212455483276e-05,8.680607886319565e-05,5.339280322740225e-07,-1.1601379103432387e-07,2.0798138345867084e-05,0.024999999999999994,0.23825663854057164,-6.291526496162953e-07,-2.1244042735858988e-08,-1.2420944078096264e-20
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,ks_complement,192,1.2327675389297724e-05,5.174116223921501e-05,2.1433199484936294e-07,-1.764210178747777e-07,1.25040964071725e-05,0.012499999999999997,1.2476304127917303e-05,5.236498006662161e-05,1.4479735916514414e-07,-2.5299318176234484e-07,1.2729297309679647e-05,0.018749999999999996,0.23825663854057164,-1.0012461189972085e-07,-4.8504126719873995e-08,1.5233358160776558e-20
E1,electricity,11,logreg,mean_shift,1,E1-electricity-11-logreg-mean_shift-1,leverage,128,5.605938057170335e-06,2.3528989964389705e-05,4.045820164868972e-08,-1.3907340659394404e-07,5.74501146376428e-06,0.0,5.661466312326074e-06,2.3762050648431393e-05,8.957769548881319e-08,-9.016064698980817e-08,5.751626959315883e-06,0.0,0.23825663854057164,-3.555220664282689e-08,-1.9976048512910817e-08,-1.4161332086907834e-21
