dataset,split,model,scenario,method,budget,v_exact,same_position_instances,v_mc_crn,v_mean_adjusted_crn,v_mc_independent,v_mean_adjusted_independent,window_share_crn
electricity,12,logreg,mean_shift,ks_complement,128,0.008999294277399955,0,3.60003225255473e-06,0.008997948441459498,3.943130069484473e-06,0.008993595633585986,0.9996001250121648
electricity,12,logreg,mean_shift,leverage,128,0.008999294277399955,0,8.248450984046606e-07,0.009003514422132965,8.988046666157411e-07,0.00900119513879688,0.9999083517576626
electricity,12,logreg,null,ks_complement,128,0.018362148209366602,0,1.5768453983578784e-06,0.018351151446243483,1.9082074123342743e-06,0.01833645933340126,0.9999141325959926
electricity,12,logreg,null,leverage,128,0.018362148209366602,0,4.212509218174749e-07,0.01835833209453747,4.0170190555359186e-07,0.018367316903543283,0.9999770592605393
electricity,13,hgb,mean_shift,ks_complement,128,0.026586096230553677,0,0.00015472500143847532,0.02657426064325686,0.00019022781505585726,0.026455330534221066,0.9942139024042626
electricity,13,hgb,mean_shift,leverage,128,0.026586096230553677,0,3.513613920168817e-05,0.026643015477832644,3.8475218323209236e-05,0.026514854358335633,0.9986801460310453
electricity,13,hgb,null,ks_complement,128,0.07413998123762175,0,0.00016475167873693632,0.07373246988787549,0.00018217466362421809,0.07423518369583793,0.9977827565987972
electricity,13,hgb,null,leverage,128,0.07413998123762175,0,4.1225320121926166e-05,0.07407671368912773,4.000835651947446e-05,0.07397613869181326,0.9994442619359415
electricity,13,logreg,mean_shift,ks_complement,128,0.009785355166562705,0,5.459795507561729e-06,0.009785889380118257,6.523991456344284e-06,0.00978487780141986,0.9994423553576782
electricity,13,logreg,mean_shift,leverage,128,0.009785355166562705,0,1.2108625915331556e-06,0.009782249708437192,1.4374792655575188e-06,0.009779910653189991,0.9998762729860581
electricity,13,logreg,null,ks_complement,128,0.02560567254572707,0,1.912312463171244e-06,0.02559893283379701,2.0229191185981614e-06,0.025590851385752077,0.9999253224201439
electricity,13,logreg,null,leverage,128,0.02560567254572707,0,4.535004474105262e-07,0.025602539721855864,4.476548595954555e-07,0.02561144050557722,0.9999822893769017
electricity,14,hgb,mean_shift,ks_complement,128,0.04713488969600177,0,0.00015606628308381781,0.04724620578642542,0.00018372458992547188,0.04721691633702794,0.9966998704117371
electricity,14,hgb,mean_shift,leverage,128,0.04713488969600177,0,3.858278366059848e-05,0.04698555202416921,3.893149058509894e-05,0.04707877901110975,0.9991821084683297
electricity,14,hgb,null,ks_complement,128,0.0525390371751051,0,0.00013484403014504367,0.05254361430131988,0.00013532403431706157,0.05280231134463382,0.9974400209921953
electricity,14,hgb,null,leverage,128,0.0525390371751051,0,3.2132482235441775e-05,0.05250402122751422,3.169162126677183e-05,0.05253302588765894,0.9993887812950543
electricity,14,logreg,mean_shift,ks_complement,128,0.009411502765566251,0,7.839093766717715e-06,0.009413923694345077,7.350409509934727e-06,0.009387366035599283,0.9991677662958002
electricity,14,logreg,mean_shift,leverage,128,0.009411502765566251,0,1.9231957477223412e-06,0.009403961070252273,1.7183704290690174e-06,0.009424020277865184,0.999795696513084
electricity,14,logreg,null,ks_complement,128,0.029576861457691412,0,2.088923840886687e-06,0.029565746437120923,2.2136794335689456e-06,0.029598250123685294,0.9999293780268081
electricity,14,logreg,null,leverage,128,0.029576861457691412,0,4.5437945058993175e-07,0.02957365115560145,4.6588839361467206e-07,0.029570980608325623,0.9999846375697818
