dataset,model,scenario,method,sev_idx,top5_instability_seed_mean
bank-marketing,rf,gradual,lime,2,0.1613333333333331
bank-marketing,rf,gradual,lime,3,0.20266666666666644
bank-marketing,rf,gradual,lime,4,0.2533333333333332
bank-marketing,rf,gradual,lime,5,0.2679999999999998
bank-marketing,rf,gradual,pi,1,0.15999999999999992
bank-marketing,rf,gradual,pi,2,0.11999999999999988
bank-marketing,rf,gradual,pi,3,0.15999999999999992
bank-marketing,rf,gradual,pi,4,0.11999999999999988
bank-marketing,rf,gradual,pi,5,0.19999999999999996
bank-marketing,rf,gradual,shap,1,0.22980000000000012
bank-marketing,rf,gradual,shap,2,0.2914000000000001
bank-marketing,rf,gradual,shap,3,0.31620000000000004
bank-marketing,rf,gradual,shap,4,0.32800000000000007
bank-marketing,rf,gradual,shap,5,0.3368000000000001
bank-marketing,rf,mean_shift,lime,1,0.06266666666666665
bank-marketing,rf,mean_shift,lime,2,0.11866666666666659
bank-marketing,rf,mean_shift,lime,3,0.17866666666666653
bank-marketing,rf,mean_shift,lime,4,0.2653333333333332
bank-marketing,rf,mean_shift,lime,5,0.32266666666666644
bank-marketing,rf,mean_shift,pi,1,0.15999999999999992
bank-marketing,rf,mean_shift,pi,2,0.11999999999999988
bank-marketing,rf,mean_shift,pi,3,0.15999999999999992
bank-marketing,rf,mean_shift,pi,4,0.15999999999999992
bank-marketing,rf,mean_shift,pi,5,0.24
bank-marketing,rf,mean_shift,shap,1,0.20999999999999996
bank-marketing,rf,mean_shift,shap,2,0.27160000000000006
bank-marketing,rf,mean_shift,shap,3,0.30400000000000005
bank-marketing,rf,mean_shift,shap,4,0.3266000000000002
bank-marketing,rf,mean_shift,shap,5,0.365
bank-marketing,rf,missing,lime,1,0.03200000000000003
bank-marketing,rf,missing,lime,2,0.041333333333333444
bank-marketing,rf,missing,lime,3,0.06399999999999983
bank-marketing,rf,missing,lime,4,0.07066666666666666
bank-marketing,rf,missing,lime,5,0.10133333333333316
bank-marketing,rf,missing,pi,1,0.11999999999999988
bank-marketing,rf,missing,pi,2,0.11999999999999988
bank-marketing,rf,missing,pi,3,0.08000000000000007
bank-marketing,rf,missing,pi,4,0.11999999999999988
bank-marketing,rf,missing,pi,5,0.11999999999999988
bank-marketing,rf,missing,shap,1,0.03079999999999994
bank-marketing,rf,missing,shap,2,0.052999999999999936
bank-marketing,rf,missing,shap,3,0.07179999999999997
bank-marketing,rf,missing,shap,4,0.09919999999999995
bank-marketing,rf,missing,shap,5,0.1097999999999999
bank-marketing,rf,noise,lime,1,0.03866666666666663
bank-marketing,rf,noise,lime,2,0.07466666666666666
bank-marketing,rf,noise,lime,3,0.10266666666666668
bank-marketing,rf,noise,lime,4,0.1479999999999999
bank-marketing,rf,noise,lime,5,0.19733333333333325
bank-marketing,rf,noise,pi,1,0.08000000000000007
bank-marketing,rf,noise,pi,2,0.11999999999999988
bank-marketing,rf,noise,pi,3,0.040000000000000036
bank-marketing,rf,noise,pi,4,0.040000000000000036
bank-marketing,rf,noise,pi,5,0.11999999999999988
bank-marketing,rf,noise,shap,1,0.07899999999999996
bank-marketing,rf,noise,shap,2,0.16280000000000006
bank-marketing,rf,noise,shap,3,0.23199999999999998
bank-marketing,rf,noise,shap,4,0.276
bank-marketing,rf,noise,shap,5,0.2922
bank-marketing,rf,quantize,lime,1,0.03599999999999992
bank-marketing,rf,quantize,lime,2,0.053333333333333344
bank-marketing,rf,quantize,lime,3,0.07199999999999984
bank-marketing,rf,quantize,lime,4,0.11733333333333318
bank-marketing,rf,quantize,lime,5,0.16399999999999992
bank-marketing,rf,quantize,pi,1,0.08000000000000007
bank-marketing,rf,quantize,pi,2,0.11999999999999988
bank-marketing,rf,quantize,pi,3,0.15999999999999992
bank-marketing,rf,quantize,pi,4,0.11999999999999988
bank-marketing,rf,quantize,pi,5,0.11999999999999988
bank-marketing,rf,quantize,shap,1,0.03820000000000001
bank-marketing,rf,quantize,shap,2,0.1552
bank-marketing,rf,quantize,shap,3,0.28900000000000003
bank-marketing,rf,quantize,shap,4,0.3498000000000001
bank-marketing,rf,quantize,shap,5,0.4236000000000001
electricity,hgb,gradual,lime,1,0.20399999999999985
electricity,hgb,gradual,lime,2,0.2866666666666664
electricity,hgb,gradual,lime,3,0.2919999999999998
electricity,hgb,gradual,lime,4,0.2879999999999999
electricity,hgb,gradual,lime,5,0.31733333333333325
electricity,hgb,gradual,pi,1,0.15999999999999992
electricity,hgb,gradual,pi,2,0.19999999999999996
electricity,hgb,gradual,pi,3,0.11999999999999988
electricity,hgb,gradual,pi,4,0.15999999999999992
electricity,hgb,gradual,pi,5,0.28
electricity,hgb,gradual,shap,1,0.21720000000000006
electricity,hgb,gradual,shap,2,0.2238
electricity,hgb,gradual,shap,3,0.23299999999999998
electricity,hgb,gradual,shap,4,0.24119999999999997
electricity,hgb,gradual,shap,5,0.24780000000000002
electricity,hgb,mean_shift,lime,1,0.22799999999999976
electricity,hgb,mean_shift,lime,2,0.24399999999999977
electricity,hgb,mean_shift,lime,3,0.2893333333333331
electricity,hgb,mean_shift,lime,4,0.2999999999999998
electricity,hgb,mean_shift,lime,5,0.32133333333333314
electricity,hgb,mean_shift,pi,1,0.15999999999999992
electricity,hgb,mean_shift,pi,2,0.19999999999999996
electricity,hgb,mean_shift,pi,3,0.19999999999999996
electricity,hgb,mean_shift,pi,4,0.15999999999999992
electricity,hgb,mean_shift,pi,5,0.15999999999999992
electricity,hgb,mean_shift,shap,1,0.20320000000000005
electricity,hgb,mean_shift,shap,2,0.23020000000000007
electricity,hgb,mean_shift,shap,3,0.2378
electricity,hgb,mean_shift,shap,4,0.24519999999999997
electricity,hgb,mean_shift,shap,5,0.2584000000000001
electricity,hgb,missing,lime,1,0.05999999999999994
electricity,hgb,missing,lime,2,0.09333333333333316
electricity,hgb,missing,lime,3,0.1599999999999998
electricity,hgb,missing,lime,4,0.17466666666666641
electricity,hgb,missing,lime,5,0.19599999999999995
electricity,hgb,missing,pi,1,0.08000000000000007
electricity,hgb,missing,pi,2,0.11999999999999988
electricity,hgb,missing,pi,3,0.11999999999999988
electricity,hgb,missing,pi,4,0.11999999999999988
electricity,hgb,missing,pi,5,0.15999999999999992
electricity,hgb,missing,shap,1,0.05500000000000005
electricity,hgb,missing,shap,2,0.09639999999999982
electricity,hgb,missing,shap,3,0.139
electricity,hgb,missing,shap,4,0.1571999999999999
electricity,hgb,missing,shap,5,0.1734
electricity,hgb,noise,lime,1,0.1533333333333331
electricity,hgb,noise,lime,2,0.19466666666666654
electricity,hgb,noise,lime,3,0.2786666666666664
electricity,hgb,noise,lime,4,0.2799999999999997
electricity,hgb,noise,lime,5,0.2826666666666664
electricity,hgb,noise,pi,1,0.08000000000000007
electricity,hgb,noise,pi,2,0.08000000000000007
electricity,hgb,noise,pi,3,0.24
electricity,hgb,noise,pi,4,0.32000000000000006
electricity,hgb,noise,pi,5,0.19999999999999996
electricity,hgb,noise,shap,1,0.17800000000000016
electricity,hgb,noise,shap,2,0.2230000000000001
electricity,hgb,noise,shap,3,0.25060000000000004
electricity,hgb,noise,shap,4,0.27279999999999993
electricity,hgb,noise,shap,5,0.281
electricity,hgb,quantize,lime,1,0.07333333333333325
electricity,hgb,quantize,lime,2,0.10266666666666657
