dataset,model,scenario,method,monitor,explanation_first,first_alert
bank-marketing,logreg,noise,pi,prediction_ks_alert,6,3
bank-marketing,logreg,missing,pi,prediction_ks_alert,6,2
bank-marketing,logreg,quantize,pi,prediction_ks_alert,6,4
bank-marketing,logreg,gradual,pi,prediction_ks_alert,6,1
bank-marketing,rf,mean_shift,pi,prediction_ks_alert,1,1
bank-marketing,rf,noise,pi,prediction_ks_alert,2,1
bank-marketing,rf,missing,pi,prediction_ks_alert,1,2
bank-marketing,rf,quantize,pi,prediction_ks_alert,2,1
bank-marketing,rf,gradual,pi,prediction_ks_alert,1,1
bank-marketing,hgb,mean_shift,pi,prediction_ks_alert,2,1
bank-marketing,hgb,noise,pi,prediction_ks_alert,2,1
bank-marketing,hgb,missing,pi,prediction_ks_alert,1,2
bank-marketing,hgb,quantize,pi,prediction_ks_alert,2,1
bank-marketing,hgb,gradual,pi,prediction_ks_alert,1,1
electricity,logreg,mean_shift,pi,prediction_ks_alert,6,1
electricity,logreg,noise,pi,prediction_ks_alert,4,2
electricity,logreg,missing,pi,prediction_ks_alert,4,1
electricity,logreg,quantize,pi,prediction_ks_alert,6,3
electricity,logreg,gradual,pi,prediction_ks_alert,6,1
electricity,rf,mean_shift,pi,prediction_ks_alert,1,1
electricity,rf,noise,pi,prediction_ks_alert,1,1
electricity,rf,missing,pi,prediction_ks_alert,4,1
electricity,rf,quantize,pi,prediction_ks_alert,1,1
electricity,rf,gradual,pi,prediction_ks_alert,1,1
electricity,hgb,mean_shift,pi,prediction_ks_alert,1,1
electricity,hgb,noise,pi,prediction_ks_alert,3,1
electricity,hgb,missing,pi,prediction_ks_alert,2,1
electricity,hgb,quantize,pi,prediction_ks_alert,1,1
electricity,hgb,gradual,pi,prediction_ks_alert,1,1
