analysis_family,scope,dataset,model_scope,method,estimand_scope,scenario,severity,metric,estimate,ci_low_95,ci_high_95,n_dataset_strata,n_seed_clusters,bootstrap_replicates,replicate_unit
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.8,sign_all,0.7875767689101022,0.7697940947940948,0.8057782279448945,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.8,sign_all,0.9048770951270952,0.8995665599832268,0.9107226118788617,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.8,sign_all,0.8232857142857142,0.7966402116402117,0.8517830687830689,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.8,spearman_all,0.7141587425421099,0.6990076098137459,0.729514660517906,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.8,spearman_all,0.6328525114732012,0.6096730242937141,0.6480683760683762,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.8,spearman_all,0.8477189542483661,0.8361176470588235,0.8594444444444445,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.8,spearman_all,0.661904761904762,0.6232275132275134,0.7015873015873016,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.8,top3_all,0.7387654320987656,0.7244444444444446,0.7540740740740741,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.8,top3_all,0.734814814814815,0.7207407407407409,0.7451851851851853,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.8,top3_all,0.7696296296296297,0.7503703703703704,0.7874074074074076,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.8,top3_all,0.7118518518518518,0.6777777777777778,0.7540740740740741,1,5,10000,seed_cluster
explanation,fixed_dataset_macro,all_fixed_strata,all_models_fixed_average,lime,local attribution,gradual,0.8,top5_all,0.759851851851852,0.7496296296296299,0.770814814814815,3,15,10000,seed_cluster_within_fixed_dataset_stratum
explanation,per_dataset,adult,all_models_fixed_average,lime,local attribution,gradual,0.8,top5_all,0.7035555555555557,0.7004444444444446,0.7057777777777778,1,5,10000,seed_cluster
explanation,per_dataset,bank-marketing,all_models_fixed_average,lime,local attribution,gradual,0.8,top5_all,0.7902222222222224,0.7751111111111111,0.8066666666666669,1,5,10000,seed_cluster
explanation,per_dataset,electricity,all_models_fixed_average,lime,local attribution,gradual,0.8,top5_all,0.7857777777777779,0.7591111111111113,0.8124444444444446,1,5,10000,seed_cluster
