record_type,scope,dataset,model,seed,method,method_estimand,predictor,explanation_endpoint,rho,correlation_status,estimate,ci_low_95,ci_high_95,n_conditions,n_seed_clusters,bootstrap_replicates,replicate_unit
block,within_dataset_model_seed,adult,hgb,0.0,lime,local_attribution,ece_increase,cosine_instability,0.913076923076923,ok,0.913076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,1.0,lime,local_attribution,ece_increase,cosine_instability,0.9630769230769232,ok,0.9630769230769232,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,2.0,lime,local_attribution,ece_increase,cosine_instability,0.9061538461538461,ok,0.9061538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,3.0,lime,local_attribution,ece_increase,cosine_instability,0.943076923076923,ok,0.943076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,hgb,4.0,lime,local_attribution,ece_increase,cosine_instability,0.8561538461538462,ok,0.8561538461538462,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,0.0,lime,local_attribution,ece_increase,cosine_instability,0.9561538461538461,ok,0.9561538461538461,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,1.0,lime,local_attribution,ece_increase,cosine_instability,0.9323076923076923,ok,0.9323076923076923,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,2.0,lime,local_attribution,ece_increase,cosine_instability,0.9615384615384615,ok,0.9615384615384615,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,3.0,lime,local_attribution,ece_increase,cosine_instability,0.9376923076923077,ok,0.9376923076923077,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,logreg,4.0,lime,local_attribution,ece_increase,cosine_instability,0.9523076923076922,ok,0.9523076923076922,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,0.0,lime,local_attribution,ece_increase,cosine_instability,0.8046153846153845,ok,0.8046153846153845,,,25,1,0,single_seed_block
block,within_dataset_model_seed,adult,rf,1.0,lime,local_attribution,ece_increase,cosine_instability,0.7592307692307693,ok,0.7592307692307693,,,25,1,0,single_seed_block
